map_id|author|name|difficulty|tags|notes
517|Eliope|Makina Honor (Wooden)|2.0|inactive|
518|Eliope|The Way of the Racers|1.0|twotr twor|Fixed on 2026-03-20
519|Sebas Tian|SAC - City Run|0.5||Fixed on 2025-11-30
520|Fate & Riblei & Alex4win|Fuck It|3.5||
521|Zechten|Velocity Midori|1.5||
522|MASKSLAVE|MASKSLAVE 3|3.0||
524|Riblei & Eliope|Machina 2 (Pyramid Skip Edit by Riblei)|3.5||Fixed CPs on 2026-05-18
525|Guest Creator|Anthill Race|2.0||
526|Eliope|Makina Honor (Flat Texture by Sylcium)|2.0|inactive|
527|Eliope|Aila 3 Remake|3.0||
528|MASKSLAVE|MASKSLAVE 5|3.0||
529|Ryu|Hell on Earth|6.0||
530|oNoto|Racing BaBaBa|3.0||
531|Eliope|Nano Maps Fused (Lava Edit by Riblei)|3.5||
532|oNoto|The End of LaLy|3.5||Fixed on 2026-02-21
533|Kyoi|Goober's Death Run|5.0||
534|Riblei & Eliope|Machina 2 (Later Half Cut, No Trap Edit by Riblei)|4.0||Fixed CPs on 2026-04-18
535|Riblei|Celestial Ellestra|4.0||
536|Sub|Copied City|0.5|inactive|
537|Yuukihito|Unnamed (Lava)|4.5||
538|Eliope|Avenue + ZYX_ZYX (Tourney Version by Riblei)|4.0||
539|cowcowtony|Random Turns|3.5||
540|NexS7|The Box (Hard)|2.0||Updated on 2026-01-24
541|Riblei|40 Yards Downwards|3.0||
542|cowcowtony|A Cow Is Too Slow For 'Horse Racing'|0.5|horse|Fixed on 2026-03-26
543|Eliope|Horseside the Walls|1.5|horse|
544|Eliope|Horsescape the Walls|4.0|horse|
545|PTHunter|Racing Map|1.0||
546|cowcowtony|Rainbow Road SNES (Horse Edit)|1.0|horse inactive|
547|cowcowtony|Fair Map|3.0||
549|Guest Creator|Tubes & Horses (Horse Required)|3.5|horse|
550|Test|Test|0.5|inactive|
552|Madzik|Horse Racing|1.5|horse|
553|Charlotte|Chess lV “Bishop” (WIP 20%)|4.5||Released on 2025-12-01
554|Naked Heart|Mash|1.5||Released on 2025-12-01
555|Naked Heart|Mash 2|1.5||Released on 2025-12-03;Updated on 2026-04-20
556|Naked Heart|Anökumene|6.5|ano|Released on 2025-12-06
557|Riblei|Volcano Horse Racing (ft. Eliope)|3.0|horse event|CR 2025 Winter Racing Event Map
558|Alex4win|Akina Special Training (Edit by Fruity)|0.5||
559|Naked Heart|Fusuma|0.5||Fixed on 2026-01-07
560|oNoto|Laly Pink|4.0||Full version fixed on 2025-12-30
561|Eliope|Climbing; The Tree of Discipline|2.5|event|CR 2025 Winter Racing Event Map;Updated on 2026-01-14
562|Eliope|CR25|3.0|event|CR 2025 Winter Racing Event Map
563|Eliope|Makina Modular|2.5|event|CR 2025 Winter Racing Event Map;Updated on 2026-01-14
564|Eliope|Maze of Stables|2.5|horse event|CR 2025 Winter Racing Event Map
565|Eliope|Modern Hospital Racing (cowcowtony & Hong Yao Fusion)|0.5|event|CR 2025 Winter Racing Event Map;Last Update: 2026-01-24
566|Eliope & Riblei|Royal Eggs Together (Puzzle)|4.0||Released on 2026-01-02
567|Eliope|Makina Source LV2 Hard Edition|3.5||
568|Eliope|Industry Racers 1|0.5||Updated on 2026-01-14
569|Riblei|Le Touch de Grass|1.0||Added on 2026-01-11
570|Sub|Racing City (No Shortcut Version)|0.5||
571|Sub|Copied City (No Shortcut Version)|0.5||
572|Antigasp|SignalMover Demo Map (Edit by Fruity)|0.5||Fixed on 2026-02-01
573|cowcowtony|Future Trax 2 Sector A|3.5||Restored by Riblei on 2026-02-06
574|cowcowtony|Future Trax 2 Sector B|2.0||Restored by Riblei on 2026-02-06;Fixed on 2026-03-19
575|cowcowtony|Future Trax 2 Sector C|3.0||Restored by Riblei on 2026-02-06
576|cowcowtony|Future Trax 2 Sector D|3.0||Restored by Riblei on 2026-02-06;Fixed on 2026-03-08
577|cowcowtony|Future Trax 2 Sector E|2.0||Restored by Riblei on 2026-02-06
578|cowcowtony|Future Trax 2 Sector F|3.5||Restored by Riblei on 2026-02-06
579|cowcowtony|Future Trax 2 Sector G|3.5||Restored by Riblei on 2026-02-06
580|cowcowtony|Future Trax 2 Sector G (Cyan)|3.5||Restored by Riblei on 2026-02-06
581|cowcowtony|Future Trax 2 Sector H|4.0||Restored by Riblei on 2026-02-06
582|cowcowtony|Future Trax 2 Sector I|3.5||Restored by Riblei on 2026-02-06
583|Riblei|HDR Ascension|5.0||Released on 2026-03-13;Enable HDR in your graphics settings for a unique visual experience.
584|Riblei| Celestial Dreams Final (Logic by Alex4win, wok) [Short Ver.]|1.0||CR 2025 Winter Racing Event Map;Fixed on 2026-03-26
585|cowcowtony|Galactic Spherical Solar Panel|2.0||
586|Feng Lee|Akina|1.0||
587|Tralalero|Bluebay Circuit|0.5||Released on 2026-05-17
